node_id,email,has_picture_cover,has_linkedin,has_twitter,has_personal_url,has_instagram,is_unwanted,tags,goals,nb_chars_in_bio
2220753,gmail,0,0,0,0,0,1,,,0.0
2213375,yahoo,0,0,0,0,0,1,Music;SocialMediaMarketing;Marketing,Job opportunities,46.0
1991442,gmail,1,0,0,0,0,1,,,0.0
1962286,hotmail,0,0,0,0,0,1,OfficeManagement;CustomerService;Administration;TeamManagement;HealthyLiving;Fitness;TeamBuilding;CashManagement,Explore a career change;Job opportunities;Ideas & inspiration,25.0
1968587,gmail,1,1,0,0,0,1,Screenwriting;Fashion;Writing;CopyWriting;Branding;Journalism;CreativeWriting,Mentorship;Job opportunities;Freelance projects,234.0
1942529,gmail,1,0,0,0,0,1,GovernmentAdministration;Insurance;InternationalAffairs;Law;Paralegal,Explore a career change;Job opportunities;New friends in town,137.0
2506320,gmail,1,0,0,0,0,1,Books;Aviation;History;Marketing,Explore a career change;New friends in town;Job opportunities,50.0
2001051,gmail,1,1,0,0,0,1,,,0.0
2290163,hotmail,1,0,0,0,0,1,,,0.0
2201670,gmail,1,1,0,0,0,1,,,99.0
2078526,gmail,1,0,0,0,0,1,,,0.0
1965683,gmail,1,0,0,0,0,1,Media;Music;Journalism;Sales;Marketing;Reading,,95.0
2199380,gmail,1,0,0,0,0,1,Management,Job opportunities;Potential investments,25.0
1937611,yahoo,0,0,0,0,0,1,Cryptocurrency;RiskManagement;Investing;CorporateFinance;Startups;Finance;Fintech;Economics,Potential investments;Mentor others;Ideas & inspiration,76.0
2606298,gmail,1,0,0,0,0,1,HumanResources;PersonalDevelopment;PersonnalDevelopment;Recruiting;TalentAcquisition;CareerCoaching;TalentManagement;EmployeeEngagement;Diversity;ChangeManagement;Training;OrganizationalPlanning,Mentorship;Collaborators & talent to hire;New friends in town,41.0
2602863,gmail,0,0,0,0,0,1,,Job opportunities,
2051014,yahoo,1,0,0,0,0,1,Training;Staffing;OrganizationalPlanning;BusinessEthics;Payroll;PersonnalDevelopment;HumanResources,Job opportunities,207.0
2027934,yahoo,1,0,0,0,0,1,,,0.0
1939085,yahoo,1,0,1,0,0,1,,,0.0
2419831,gmail,1,0,0,0,0,1,HorseRiding;DogLover;Childcare;Teaching;Photography;Animals;Nature,Mentorship;Ideas & inspiration;Job opportunities,175.0
2083543,hotmail,0,0,0,0,0,1,Sports;Football;Coaching;Education,Explore a career change;Freelance projects;Job opportunities,98.0
2305531,gmail,1,0,0,0,0,1,BrandDevelopment;Marketing,Grow my business;Collaborators & talent to hire;Funding,32.0
2054182,hotmail,1,0,0,0,0,1,Communication;SocialNetworking;Marketing;BusinessDevelopment;Entrepreneurship;Networking,Hire freelancers;Collaborators & talent to hire;Grow my business,241.0
1959136,outlook,1,0,0,0,0,1,English;Assistant;Teaching;Education,Ideas & inspiration;New friends in town;Job opportunities,249.0
2023676,yahoo,1,0,0,0,0,1,,,0.0
2056003,outlook,1,0,0,0,0,1,Sports;Fitness;Music,Job opportunities,136.0
2101913,other,1,0,0,0,0,1,Meditation;Wellness;HealthyLiving;Massage,,0.0
2040670,hotmail,1,1,0,0,0,1,,,0.0
2023267,yahoo,1,0,0,0,0,1,,,167.0
2010711,hotmail,1,0,0,0,0,1,Creativity;Craft;Photography;Illustration;Startups;Design;Freelancing;SocialMedia;Sewing,Job opportunities;Mentorship;Freelance projects,140.0
2570681,gmail,0,0,0,0,0,1,Networking;Movies,New friends in town,24.0
2423652,gmail,1,0,0,1,1,1,Illustration;BrandManagement;ArtDirection;Marketing;CreativeDirection;Communication;GraphicDesign,Mentorship;Job opportunities;Freelance projects,120.0
2186544,yahoo,0,0,0,0,0,1,Healthcare;Administration,New friends in town;Job opportunities;Ideas & inspiration,
1962089,hotmail,1,0,0,0,0,1,Art;Decoration;Tourism,New friends in town;Ideas & inspiration;Job opportunities,28.0
2604750,gmail,1,0,0,0,0,1,Entrepreneurship;TechEntrepreneur,Potential investments;Grow my business;New friends in town,300.0
2392066,gmail,1,0,0,0,0,1,Music;Foodie;Animals,New friends in town,35.0
1965307,gmail,1,0,0,0,0,1,Mentorship;Startups;Innovation;Entrepreneurship;Networking;ProductManagement;Digital;Technology;BusinessStrategy;Business;GrowthHacking;Growth,Ideas & inspiration;Mentor others;Mentorship,69.0
2418117,yahoo,1,0,0,0,0,1,,,83.0
1955284,gmail,1,0,0,0,0,1,HeadHunting;EmployeeRelation;Recruiting,Job opportunities;Freelance projects,37.0
1965563,gmail,0,0,0,0,0,1,Healthcare;Health,Ideas & inspiration,28.0
1941748,gmail,0,0,0,0,0,1,Helping,Job opportunities,93.0
2497425,yahoo,1,0,0,0,0,1,Nonprofit,,
1966363,yahoo,1,0,0,0,0,1,Theatre;MakeupArtistry;BeautyIndustry;Acting;Administration;Cosmetics,New friends in town;Job opportunities;Explore a career change,104.0
1968981,outlook,1,0,0,0,0,1,SalesManagement;France;Administration;Sales,Job opportunities,50.0
2022535,hotmail,1,0,0,0,0,1,Internationalrelations;LuxePartenaires;Marketing;Branding;InternationalDevelopment,Job opportunities;Explore a career change;Ideas & inspiration,5.0
1965676,other,1,0,0,0,0,1,DataScience;SQL;SoftwareEngineering;WebApplications;FullStackDevelopment;Automation;DataVisualization;Python;ComputerScience;OpenSource;ProductManagement,Mentorship;Freelance projects;New friends in town,148.0
1950460,outlook,0,0,0,0,0,1,,,0.0
2045313,gmail,0,0,0,0,0,1,Surgery;Healthcare;Medicine;Nursing;MedicalDevices,Job opportunities,54.0
2045770,gmail,1,0,0,0,0,1,Education;PublicHealth;Healthcare,Job opportunities;Mentor others;Collaborators & talent to hire,35.0
1989580,gmail,0,0,0,0,0,1,Gaming;ESports;Technology;VideoGaming;Networking;MobileApps,Explore a career change;Job opportunities;Freelance projects,
2056759,gmail,1,0,0,0,0,1,Television;Animals;PopCulture;Anime;Music,Explore a career change;New friends in town;Ideas & inspiration,57.0
2418935,yahoo,1,0,0,0,0,1,HumanRights;Nonprofit;Community;SocialJustice;SocialEntrepreneurship;Philanthropy,Hire freelancers;Collaborators & talent to hire,27.0
2558553,gmail,1,1,1,1,1,1,BusinessDevelopment;Business;Marketing;Entrepreneurship;Management,Funding;New friends in town;Potential investments,26.0
2598727,gmail,1,0,0,0,0,1,Community;Education,A co-founder,40.0
1962349,gmail,1,1,0,1,0,1,Entrepreneurship;Consulting;BusinessOwner;Networking;Startups;Mentorship;Marketing,New friends in town;Grow my business;Mentorship,163.0
1970668,gmail,0,0,0,0,0,1,BioTech;Pharmaceuticals;Surgery;MedicalDevices;Fitness;GlobalHealth;HealthTech;Medicine;Healthcare;Dentistry;Science;CancerResearch,Job opportunities,162.0
2024055,yahoo,1,0,0,0,0,1,,Job opportunities;New friends in town;Explore a career change,0.0
2419656,gmail,1,0,0,0,0,1,MobileApps;Greentech;DataAnalysis;Fintech;Technology;ProductDevelopment;DigitalTransformation,New friends in town;Mentorship;Explore a career change,221.0
2585612,gmail,0,0,0,0,0,1,BusinessOwner;Entrepreneurship;Growth;PersonalDevelopment;Networking;Marketing;CreativeStrategy;Mentorship;BusinessDevelopment;Sales,Grow my business;Mentorship;Explore a career change,83.0
2511773,gmail,1,0,0,0,0,1,,Grow my business;New friends in town;Ideas & inspiration,
2454928,gmail,1,0,0,0,0,1,Animation;Education;Teaching;Kids;SocialServices;Learning;SocialEntrepreneurship,Explore a career change;Funding;A co-founder,59.0
2176628,gmail,1,0,0,0,0,1,FullStackDevelopment;SoftwareDevelopment;AppDevelopment;MobileApps;ApplicationDeveloppment;Programming;ComputerScience;WebApplications;JavaScript;Coding;SoftwareEngineering;WebDevelopment,Job opportunities;Freelance projects;Mentor others,26.0
2025881,hotmail,1,0,0,0,0,1,,Freelance projects;Explore a career change;New friends in town,0.0
2003254,other,1,0,0,0,0,1,Nonprofit;ClimateChange;PolicyAnalysis;Communication;ManagementConsulting;Consulting;PublicRelations;Analysis;Research;Advisory;SocialImpact;SocialJustice,,0.0
2057678,gmail,1,0,0,0,0,1,Military;Restaurant;Diversity;Training;MatchMaking;French;Recruiting;EmployeeRelation,Freelance projects;New friends in town;Job opportunities,121.0
1971837,gmail,0,0,0,0,0,1,Technology;ProfessionalDevelopment;TechEntrepreneur;Networking;Leadership;SmallBusiness;TeamBuilding;BusinessOwner;Mentorship;Entrepreneurship;Innovation;Business,Ideas & inspiration,27.0
2046189,gmail,1,0,0,0,0,1,BusinessLitigation;Recruiting,Ideas & inspiration;New friends in town;Job opportunities,33.0
1940880,gmail,1,0,0,0,0,1,,,0.0
2418335,gmail,1,0,0,0,0,1,Innovation;Future;Technology;BusinessDevelopment;Travel,,0.0
2007631,gmail,0,0,0,0,0,1,Snowboarding;RealEstate,New friends in town;Job opportunities;Grow my business,27.0
1990745,gmail,0,0,0,0,0,1,Snowboarding,Job opportunities,91.0
1974959,live,0,0,0,0,0,1,Art,Mentorship;Job opportunities,114.0
2044111,gmail,0,0,0,0,0,1,Learning;SocialServices;Teaching;Helping;StudentAffairs;CulturalDiversity;Therapist;HigherEducation;Education;YouthDevelopment;Children;Psychiatry,New friends in town;Grow my business;Freelance projects,29.0
1997501,gmail,1,0,0,0,1,1,Travel;Education;Kids;Cooking;Music;Children;Animals;Lovelife;Art;Photography,Ideas & inspiration;Mentorship;Job opportunities,103.0
1954892,hotmail,1,0,0,0,0,1,,,0.0
2026625,gmail,1,0,0,0,0,1,Mentorship;Networking,Explore a career change;New friends in town;Mentorship,27.0
1976295,gmail,0,0,0,0,0,1,ChangeManagement;Diversity;PersonnalDevelopment;Logistics;OrganizationalConsulting;Training;Recruiting,New friends in town;Job opportunities;Explore a career change,210.0
2561241,gmail,1,0,0,0,0,1,Finance;MortgageFinance;Loans;RealEstateMarketing;InvestmentManagement;Funding;CommercialRealEstate;Realestateinvesting;Lending;Startups;RealEstate,Potential investments;Funding;Grow my business,174.0
2554308,gmail,1,0,0,1,0,1,Hospitality;RealEstate;Mining;Loans;Construction;Agriculture,Grow my business;Potential investments,246.0
2399605,other,1,0,0,0,0,1,,Ideas & inspiration;Mentorship;Job opportunities,0.0
2234301,yahoo,1,0,0,0,0,1,Music;Dancing,Job opportunities;Explore a career change,23.0
2161942,orange,0,0,0,0,0,1,,,0.0
1974873,hotmail,0,0,0,0,0,1,Biomedical;Healthcare,Mentorship;Funding;Collaborators & talent to hire,26.0
1974727,gmail,0,0,0,0,0,1,Movies;Creativity;Drawing;VideoGaming;Art;Music,Mentor others;Job opportunities;New friends in town,51.0
1991900,gmail,1,0,0,0,0,1,,New friends in town;Job opportunities;Grow my business,43.0
1998666,gmail,1,1,0,0,0,1,Sports;Triathlon;Swimming,Job opportunities,29.0
2025508,gmail,1,0,0,0,0,1,,,0.0
2377703,gmail,1,1,0,1,0,1,Technology;BusinessStrategy;CEO;Networking;Collaboration;Innovation;ConnectPeople;Entrepreneurship;Politics;ProductDevelopment;BusinessOwner,Funding;Potential investments;Mentor others,45.0
1980874,gmail,1,0,0,0,0,1,Volleyball;Football;Running;Sports;Basketball,New friends in town,5.0
2357306,gmail,0,0,0,0,0,1,Entrepreneurship;Ecommerce;Nonprofit,New friends in town;Mentor others;Freelance projects,28.0
2195230,gmail,1,0,0,0,0,1,,,0.0
1959217,yahoo,0,1,0,0,0,1,Sales,Collaborators & talent to hire;Grow my business;New friends in town,30.0
2096619,gmail,1,0,0,0,0,1,,,0.0
1972891,gmail,1,0,0,0,0,1,,,27.0
1950309,gmail,1,1,0,0,0,1,Science;MechanicalEngineering;ElectricalEngineering;Research;Physics;SignalProcessing;MachineLearning;Mathematics;DataScience,Ideas & inspiration;Mentor others;New friends in town,31.0
2423683,gmail,1,0,0,0,0,1,EventProduction;Networking;BrandDevelopment;SocialNetworking;Ecommerce;MarketingStrategy;SocialMediaMarketing;CreativeStrategy;PublicRelations;Advertising;Marketing;Branding,Job opportunities;Mentorship,162.0
2034304,other,1,0,0,0,0,1,,,0.0
1995938,gmail,0,0,0,0,0,1,Healthcare;CriminalLaw,Mentorship,51.0
2043705,gmail,0,0,0,0,0,1,,Job opportunities;Mentorship;Funding,33.0
1975433,yahoo,1,0,0,0,1,1,BrandDevelopment;Marketing,Funding;New friends in town;Collaborators & talent to hire,27.0
2302725,gmail,1,0,0,0,0,1,Sports;MartialArts,Ideas & inspiration;Explore a career change;New friends in town,81.0
2345505,gmail,1,0,0,0,0,1,Marketing;Entrepreneurship;Growth;SocialNetworking;SocialMediaMarketing;BrandManagement;Assistant;BusinessOwner;CEO;Ecommerce;Business;Collaboration,Potential investments;New friends in town;Funding,158.0
2001492,gmail,1,1,0,0,0,1,SportIndustry;Startups;CannabisIndustry;ProductDevelopment;Entrepreneurship;Leadership;Sustainability;Environment,Job opportunities;Funding;Potential investments,77.0
2087998,gmail,1,0,0,0,0,1,,,0.0
2550370,gmail,0,0,0,0,0,1,,Funding;A co-founder;New friends in town,100.0
2421134,gmail,0,0,0,0,0,1,ArtificialIntelligence;DigitalTransformation;InternetOfThings;Blockchain;Technology,Grow my business;Hire freelancers;New friends in town,74.0
1978282,gmail,1,0,0,0,0,1,Sports,Job opportunities;Explore a career change;Ideas & inspiration,25.0
2017126,gmail,1,0,0,0,0,1,Food;Fashion,Ideas & inspiration;New friends in town,
2021847,gmail,1,0,0,0,0,1,Technology;Reading,Mentorship;Job opportunities;Explore a career change,27.0
2418486,gmail,0,0,0,0,0,1,Training;MentalHealth;Psychotherapy;Education;Psychology;Learning,New friends in town;Mentorship;Job opportunities,236.0
1945403,gmail,0,0,0,0,1,1,NetworkMarketing;Marketing,Funding;Potential investments;Grow my business,65.0
2098388,gmail,0,0,0,0,0,1,Travel;Cinema;Art;Tourism;Museums;Photography;Culture,Job opportunities;Mentorship;Explore a career change,
2025938,gmail,0,0,0,0,0,1,Secretary;Assistant,Ideas & inspiration;Job opportunities;New friends in town,67.0
1995639,live,1,0,0,0,0,1,Sports,Ideas & inspiration;Mentorship;Job opportunities,25.0
1964949,gmail,1,0,0,0,0,1,Piano;Music;KravMaga;Volleyball;Sports;Cinema;Film;Guitar,Job opportunities,25.0
1977334,gmail,1,0,0,0,0,1,,,0.0
2059571,icloud,1,1,0,0,0,1,Government;PublicHealth;Healthcare;Health;CaseManagement,Job opportunities;Explore a career change;Mentorship,235.0
1978504,hotmail,1,0,0,0,0,1,Wellness;Diversity;WellBeing;FoodTech;PersonalDevelopment;FoodEntrepreneur;Entrepreneurship;Recruiting,New friends in town;Job opportunities;Freelance projects,216.0
2084598,gmail,1,1,0,0,0,1,,,0.0
1961788,gmail,0,0,0,0,0,1,Fitness;Mindfulness;Athletics;Basketball;Sports;SelfDevelopment;Gym;Football,Ideas & inspiration;Job opportunities;Freelance projects,132.0
2407129,gmail,1,0,0,0,0,1,Gym;Sports,Funding,34.0
1997503,gmail,0,0,0,0,0,1,FoodIndustry;Travel,Job opportunities;Grow my business;Ideas & inspiration,31.0
2067865,gmail,1,0,0,0,0,1,,,0.0
2267483,yahoo,1,0,0,0,0,1,Nonprofit;Volunteering,Job opportunities,53.0
1976943,gmail,1,0,0,0,0,1,,,0.0
2019359,gmail,1,1,0,0,0,1,Assistant;Administration;Secretary;ProblemSolving;OfficeManagement;Agile;ProgramManagement;TeamManagement;BusinessAdministration;OrganisationSkills,,0.0
2364339,gmail,1,0,0,0,0,1,Music,New friends in town,27.0
1941071,hotmail,1,0,0,0,0,1,,,0.0
2035875,hotmail,1,0,0,0,0,1,,,0.0
2058586,other,1,1,0,0,0,1,,,0.0
1951850,gmail,1,0,0,0,0,1,DataScience;DataAnalysis;SoftwareEngineering;ComputerScience;WebDevelopment,Ideas & inspiration;Mentorship;New friends in town,28.0
2003208,gmail,1,1,0,0,0,1,Recruiting;Payroll;HumanResources;Microsoft;EmployeeBenefits,Job opportunities;Explore a career change;New friends in town,80.0
